Date,Timefile,Time,Frame,Size (cm),Direction,Notes
July 4,20:10,20:17:47,2179/2798,95,up,
July 4,21:50,21:54:18,1178/2777,41,up,
July 4,22:20,22:21:30,409/2805,77,DS,
July 4,22:20,22:27:06,1992/2805,40,up,
July 4,22:40,22:45:22,1500/2798,50,up,
July 4,22:40,22:45:22,1500/2798,57,up,
July 4,23:30,23:33:35,990/2783,48,up,
July 4,23:30,23:36:20,1758/2785,59,DS,
July 4,23:30,23:37:15,2014/2783,55,up,
July 4,23:20,23:29:50,2762/2808,47,up,
July 4,23:20,23:29:54,2782/2808,48,up,
July 4,23:20,23:29:54,2782/2808,57,up,
July 4,23:20,23:29:54,2782/2808,50,up,
July 5,00:00,00:01:09,319/2791,61,up,
July 5,00:00,00:03:04,855/2791,66,up,
July 5,00:00,00:03:51,1073/2791,71,up,
July 5,00:00,00:05:11,1446/2791,44,up,
July 5,00:40,00:41:42,461/2770,61,up,
July 5,00:40,00:46:24,1777/2770,57,up,
July 5,00:40,00:47:02,1950/2770,54,up,
July 5,00:40,00:47:10,1989/2770,40,up,
July 5,00:40,00:47:28,2073/2770,64,up,
July 5,00:40,00:47:53,2189/2770,63,up,
July 5,00:40,00:48:50,2447/2770,49,up,
July 5,00:40,00:49:07,2527/2770,53,up,
July 5,00:40,00:49:17,2576/2770,61,up,
July 5,00:40,00:49:48,2722/2770,55,up,
July 5,01:20,01:28:32,-1000/0000,40-60 cm,up,
July 5,01:40,01:40:09,39/2785,65,up,
July 5,01:40,01:40:09,39/2785,42,up,
July 5,01:40,01:40:09,39/2785,65,up,
July 5,01:40,01:40:51,234/2785,53,up,
July 5,01:40,01:40:00,274/2785,48,up,
July 5,01:40,01:42:27,681/2785,45,up,
July 5,01:40,01:45:11,1445/2785,52,up,
July 5,01:40,01:45:30,1535/2785,52,up,
July 5,01:40,01:45:42,1585/2785,53,up,
July 5,01:40,01:46:49,1895/2785,44,up,
July 5,01:40,01:46:49,1895/2785,52,up,
July 5,01:40,01:47:55,2209/2785,46,up,
July 5,01:40,01:48:21,2330/2785,70,DS,
July 5,01:40,01:49:50,2745/2785,72,up,
July 5,02:50,02:52:02,565/2759,53,up,
July 5,02:50,02:53:40,1012/2759,59,up,
July 5,02:50,02:54:14,1171/2759,52,up,
July 5,02:50,02:56:19,1756/2759,40,up,
July 5,02:50,02:57:21,2030/2759,48,up,
July 5,02:50,02:57:21,2030/2759,55,up,
July 5,02:50,02:57:21,2030/2759,54,up,
July 5,02:50,02:58:22,2311/2759,50,DS,
July 5,02:50,02:58:26,2329/2759,57,DS,
