Date,Timefile,Time,Frame,Size (cm),Direction,Notes,
June 13,05:30,05:32:14,579/2751,49,up,,
June 13,05:30,05:39:44,2677/2751,52,down,,
June 13,05:30,05:39:44,2677/2751,48,down,,
June 13,05:00,05:03:32,902/2730,52,up,,
June 13,05:00,05:06:31,1743/2730,50,up,,
June 13,05:00,05:08:10,2215/2730,52,down,,
June 13,20:30,20:35:39,1552/2759,59,down,,
June 13,20:10,20:19:42,2712/2793,74,up,otter,
June 13,22:30,22:31:58,536/2789,50 x 10,up,10 fish,
June 13,22:30,22:34:07,1138/2789,50 x 8,down,,
June 13,22:30,22:36:19,1755/2789,50 x 3,up,,
June 13,23:40,23:40:54,231/2730,57,up,,
June 13,23:40,23:44:51,1313/2730,57,up,,
June 13,23:40,23:45:46,1568/2730,48,up,,
June 14,00:50,00:50:23,2318/2758,51,up,,
June 14,00:20,00:23:33,974/2764,52,up,,
June 14,00:20,00:25:40,1555/2764,46,up,,
June 14,00:20,00:27:07,1959/2764,46,up,,
June 14,01:40,01:43:45,1019/2740,50,up,,
June 14,01:30,01:38:37,2339/2727,54,up,,
June 14,02:50,02:50:42,159/2733,45,up,,
June 14,02:50,02:53:54,1027/2733,56,down,,
June 14,02:50,02:54:17,1140/2733,49,up,,
June 14,03:50,03:57:41,2140/2768,53,up,,
June 14,04:30,04:30:12,47/2779,80,up,otter,
June 14,04:30,04:32:20,642/2779,55,up,,
June 14,04:30,04:37:05,1967/2779,47,up,,
June 14,04:30,04:37:05,1967/2779,45,up,,
June 14,04:30,04:37:26,2060/2779,52,up,,
June 14,04:30,04:37:26,2060/2779,51,up,,
June 14,22:40,22:42:00,569/2859,54,up,,
June 14,22:40,22:42:00,569/2869,49,up,,
June 14,22:40,22:42:34,732/2859,51,up,,
June 14,22:40,22:42:34,732/2859,51,up,,
June 14,22:40,22:42:34,732/2859,52,up,,
June 14,22:40,22:42:35,738/2859,50,up,,
June 14,22:40,22:42:39,753/2859,55,up,,
June 14,23:30,23:30:20,91/2856,45,up,,
June 14,22:30,22:30:34,154/2856,45,up,,
June 14,22:30,22:33:56,1123/2856,45,up,,
June 14,22:30,22:33:57,1127/2856,48,up,,
June 14,22:30,22:33:59,1136/2856,45,up,,
June 15,00:20,00:26:53,1961/2852,55,up,,
June 15,01:40,01:46:37,1891/2855,56,up,,
June 15,01:20,01:27:30,2131/2840,45,up,,
June 15,01:20,01:27:43,2192/2840,49,up,,
June 15,01:20,01:27:58,2259/2840,58,up,,
June 15,01:20,01:29:04,2573/2840,54,up,,
June 15,02:30,02:13:51,1102/2851,53,up,,
June 15,02:20,02:20:35,154/2846,59,up,,
