convertedDate,frameNumber,Date,Timefile,Time,Frame,convertedTime,combinedDate,timeDiff,group,fileNameTimePrefix,fileNameDatePrefix,folderName
2020-07-03,2315,July 3,22:50,22:59:09,2315/2552,1900-01-01 22:59:09,2020-07-03 22:59:09-01:00,79.0,107,225000,2020-07-03,ARIS_2020_07_03
2020-07-03,602,July 3,23:30,23:32:13,602/2766,1900-01-01 23:32:13,2020-07-03 23:32:13-01:00,1984.0,108,233000,2020-07-03,ARIS_2020_07_03
2020-07-03,830,July 3,23:30,23:33:02,830/2766,1900-01-01 23:33:02,2020-07-03 23:33:02-01:00,49.0,109,233000,2020-07-03,ARIS_2020_07_03
2020-07-03,868,July 3,23:30,23:33:10,868/2766,1900-01-01 23:33:10,2020-07-03 23:33:10-01:00,8.0,109,233000,2020-07-03,ARIS_2020_07_03
2020-07-03,1021,July 3,23:30,23:33:45,1021/2766,1900-01-01 23:33:45,2020-07-03 23:33:45-01:00,35.0,110,233000,2020-07-03,ARIS_2020_07_03
2020-07-03,1902,July 3,23:30,23:36:54,1902/2766,1900-01-01 23:36:54,2020-07-03 23:36:54-01:00,189.0,111,233000,2020-07-03,ARIS_2020_07_03
2020-07-03,721,July 3,23:50,23:52:35,721/2795,1900-01-01 23:52:35,2020-07-03 23:52:35-01:00,941.0,112,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,1492,July 3,23:50,23:55:18,1492/2795,1900-01-01 23:55:18,2020-07-03 23:55:18-01:00,163.0,113,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,1660,July 3,23:50,23:55:58,1660/2795,1900-01-01 23:55:58,2020-07-03 23:55:58-01:00,40.0,114,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,1675,July 3,23:50,23:56:01,1675/2795,1900-01-01 23:56:01,2020-07-03 23:56:01-01:00,3.0,114,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,1831,July 3,23:50,23:56:33,1831/2795,1900-01-01 23:56:33,2020-07-03 23:56:33-01:00,32.0,115,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,2047,July 3,23:50,23:57:20,2047/2795,1900-01-01 23:57:20,2020-07-03 23:57:20-01:00,47.0,116,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,2351,July 3,23:50,23:58:24,2351/2795,1900-01-01 23:58:24,2020-07-03 23:58:24-01:00,64.0,117,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,2408,July 3,23:50,23:58:38,2408/2795,1900-01-01 23:58:38,2020-07-03 23:58:38-01:00,14.0,117,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,2577,July 3,23:50,23:59:15,2577/2795,1900-01-01 23:59:15,2020-07-03 23:59:15-01:00,37.0,118,235000,2020-07-03,ARIS_2020_07_03
2020-07-03,2759,July 3,23:50,23:59:52,2759/2795,1900-01-01 23:59:52,2020-07-03 23:59:52-01:00,37.0,119,235000,2020-07-03,ARIS_2020_07_03
2020-07-04,426,July 4,01:00,01:01:33,426/2785,1900-01-01 01:01:33,2020-07-04 01:01:33-01:00,3701.0,120,010000,2020-07-04,ARIS_2020_07_04
